line_id,trip,depart,arrive,headway_min,runtime_min,dwell_s_default,stops
L1,L1_A,06:00,06:53,15,53,35,"['Fallback Line_S0', 'Fallback Line_S1', 'Fallback Line_S2', 'Fallback Line_S3', 'Fallback Line_S4', 'Fallback Line_S5', 'Fallback Line_S6', 'Fallback Line_S7', 'Fallback Line_S8', 'Fallback Line_S9', 'Fallback Line_S10', 'Fallback Line_S11', 'Fallback Line_S12', 'Fallback Line_S13', 'Fallback Line_S14', 'Fallback Line_S15', 'Fallback Line_S16', 'Fallback Line_S17', 'Fallback Line_S18', 'Fallback Line_S19', 'Fallback Line_S20', 'Fallback Line_S21', 'Fallback Line_S22', 'Fallback Line_S23', 'Fallback Line_S24', 'Fallback Line_S25', 'Fallback Line_S26']"
L1,L1_B,06:00,06:53,15,53,35,"['Fallback Line_S26', 'Fallback Line_S25', 'Fallback Line_S24', 'Fallback Line_S23', 'Fallback Line_S22', 'Fallback Line_S21', 'Fallback Line_S20', 'Fallback Line_S19', 'Fallback Line_S18', 'Fallback Line_S17', 'Fallback Line_S16', 'Fallback Line_S15', 'Fallback Line_S14', 'Fallback Line_S13', 'Fallback Line_S12', 'Fallback Line_S11', 'Fallback Line_S10', 'Fallback Line_S9', 'Fallback Line_S8', 'Fallback Line_S7', 'Fallback Line_S6', 'Fallback Line_S5', 'Fallback Line_S4', 'Fallback Line_S3', 'Fallback Line_S2', 'Fallback Line_S1', 'Fallback Line_S0']"
L1,L1_A,06:15,07:08,15,53,35,"['Fallback Line_S0', 'Fallback Line_S1', 'Fallback Line_S2', 'Fallback Line_S3', 'Fallback Line_S4', 'Fallback Line_S5', 'Fallback Line_S6', 'Fallback Line_S7', 'Fallback Line_S8', 'Fallback Line_S9', 'Fallback Line_S10', 'Fallback Line_S11', 'Fallback Line_S12', 'Fallback Line_S13', 'Fallback Line_S14', 'Fallback Line_S15', 'Fallback Line_S16', 'Fallback Line_S17', 'Fallback Line_S18', 'Fallback Line_S19', 'Fallback Line_S20', 'Fallback Line_S21', 'Fallback Line_S22', 'Fallback Line_S23', 'Fallback Line_S24', 'Fallback Line_S25', 'Fallback Line_S26']"
L1,L1_B,06:15,07:08,15,53,35,"['Fallback Line_S26', 'Fallback Line_S25', 'Fallback Line_S24', 'Fallback Line_S23', 'Fallback Line_S22', 'Fallback Line_S21', 'Fallback Line_S20', 'Fallback Line_S19', 'Fallback Line_S18', 'Fallback Line_S17', 'Fallback Line_S16', 'Fallback Line_S15', 'Fallback Line_S14', 'Fallback Line_S13', 'Fallback Line_S12', 'Fallback Line_S11', 'Fallback Line_S10', 'Fallback Line_S9', 'Fallback Line_S8', 'Fallback Line_S7', 'Fallback Line_S6', 'Fallback Line_S5', 'Fallback Line_S4', 'Fallback Line_S3', 'Fallback Line_S2', 'Fallback Line_S1', 'Fallback Line_S0']"
L1,L1_A,06:30,07:23,15,53,35,"['Fallback Line_S0', 'Fallback Line_S1', 'Fallback Line_S2', 'Fallback Line_S3', 'Fallback Line_S4', 'Fallback Line_S5', 'Fallback Line_S6', 'Fallback Line_S7', 'Fallback Line_S8', 'Fallback Line_S9', 'Fallback Line_S10', 'Fallback Line_S11', 'Fallback Line_S12', 'Fallback Line_S13', 'Fallback Line_S14', 'Fallback Line_S15', 'Fallback Line_S16', 'Fallback Line_S17', 'Fallback Line_S18', 'Fallback Line_S19', 'Fallback Line_S20', 'Fallback Line_S21', 'Fallback Line_S22', 'Fallback Line_S23', 'Fallback Line_S24', 'Fallback Line_S25', 'Fallback Line_S26']"
L1,L1_B,06:30,07:23,15,53,35,"['Fallback Line_S26', 'Fallback Line_S25', 'Fallback Line_S24', 'Fallback Line_S23', 'Fallback Line_S22', 'Fallback Line_S21', 'Fallback Line_S20', 'Fallback Line_S19', 'Fallback Line_S18', 'Fallback Line_S17', 'Fallback Line_S16', 'Fallback Line_S15', 'Fallback Line_S14', 'Fallback Line_S13', 'Fallback Line_S12', 'Fallback Line_S11', 'Fallback Line_S10', 'Fallback Line_S9', 'Fallback Line_S8', 'Fallback Line_S7', 'Fallback Line_S6', 'Fallback Line_S5', 'Fallback Line_S4', 'Fallback Line_S3', 'Fallback Line_S2', 'Fallback Line_S1', 'Fallback Line_S0']"
L1,L1_A,06:45,07:38,15,53,35,"['Fallback Line_S0', 'Fallback Line_S1', 'Fallback Line_S2', 'Fallback Line_S3', 'Fallback Line_S4', 'Fallback Line_S5', 'Fallback Line_S6', 'Fallback Line_S7', 'Fallback Line_S8', 'Fallback Line_S9', 'Fallback Line_S10', 'Fallback Line_S11', 'Fallback Line_S12', 'Fallback Line_S13', 'Fallback Line_S14', 'Fallback Line_S15', 'Fallback Line_S16', 'Fallback Line_S17', 'Fallback Line_S18', 'Fallback Line_S19', 'Fallback Line_S20', 'Fallback Line_S21', 'Fallback Line_S22', 'Fallback Line_S23', 'Fallback Line_S24', 'Fallback Line_S25', 'Fallback Line_S26']"
L1,L1_B,06:45,07:38,15,53,35,"['Fallback Line_S26', 'Fallback Line_S25', 'Fallback Line_S24', 'Fallback Line_S23', 'Fallback Line_S22', 'Fallback Line_S21', 'Fallback Line_S20', 'Fallback Line_S19', 'Fallback Line_S18', 'Fallback Line_S17', 'Fallback Line_S16', 'Fallback Line_S15', 'Fallback Line_S14', 'Fallback Line_S13', 'Fallback Line_S12', 'Fallback Line_S11', 'Fallback Line_S10', 'Fallback Line_S9', 'Fallback Line_S8', 'Fallback Line_S7', 'Fallback Line_S6', 'Fallback Line_S5', 'Fallback Line_S4', 'Fallback Line_S3', 'Fallback Line_S2', 'Fallback Line_S1', 'Fallback Line_S0']"
L1,L1_A,07:00,07:53,15,53,35,"['Fallback Line_S0', 'Fallback Line_S1', 'Fallback Line_S2', 'Fallback Line_S3', 'Fallback Line_S4', 'Fallback Line_S5', 'Fallback Line_S6', 'Fallback Line_S7', 'Fallback Line_S8', 'Fallback Line_S9', 'Fallback Line_S10', 'Fallback Line_S11', 'Fallback Line_S12', 'Fallback Line_S13', 'Fallback Line_S14', 'Fallback Line_S15', 'Fallback Line_S16', 'Fallback Line_S17', 'Fallback Line_S18', 'Fallback Line_S19', 'Fallback Line_S20', 'Fallback Line_S21', 'Fallback Line_S22', 'Fallback Line_S23', 'Fallback Line_S24', 'Fallback Line_S25', 'Fallback Line_S26']"
L1,L1_B,07:00,07:53,15,53,35,"['Fallback Line_S26', 'Fallback Line_S25', 'Fallback Line_S24', 'Fallback Line_S23', 'Fallback Line_S22', 'Fallback Line_S21', 'Fallback Line_S20', 'Fallback Line_S19', 'Fallback Line_S18', 'Fallback Line_S17', 'Fallback Line_S16', 'Fallback Line_S15', 'Fallback Line_S14', 'Fallback Line_S13', 'Fallback Line_S12', 'Fallback Line_S11', 'Fallback Line_S10', 'Fallback Line_S9', 'Fallback Line_S8', 'Fallback Line_S7', 'Fallback Line_S6', 'Fallback Line_S5', 'Fallback Line_S4', 'Fallback Line_S3', 'Fallback Line_S2', 'Fallback Line_S1', 'Fallback Line_S0']"
L1,L1_A,07:15,08:08,15,53,35,"['Fallback Line_S0', 'Fallback Line_S1', 'Fallback Line_S2', 'Fallback Line_S3', 'Fallback Line_S4', 'Fallback Line_S5', 'Fallback Line_S6', 'Fallback Line_S7', 'Fallback Line_S8', 'Fallback Line_S9', 'Fallback Line_S10', 'Fallback Line_S11', 'Fallback Line_S12', 'Fallback Line_S13', 'Fallback Line_S14', 'Fallback Line_S15', 'Fallback Line_S16', 'Fallback Line_S17', 'Fallback Line_S18', 'Fallback Line_S19', 'Fallback Line_S20', 'Fallback Line_S21', 'Fallback Line_S22', 'Fallback Line_S23', 'Fallback Line_S24', 'Fallback Line_S25', 'Fallback Line_S26']"
L1,L1_B,07:15,08:08,15,53,35,"['Fallback Line_S26', 'Fallback Line_S25', 'Fallback Line_S24', 'Fallback Line_S23', 'Fallback Line_S22', 'Fallback Line_S21', 'Fallback Line_S20', 'Fallback Line_S19', 'Fallback Line_S18', 'Fallback Line_S17', 'Fallback Line_S16', 'Fallback Line_S15', 'Fallback Line_S14', 'Fallback Line_S13', 'Fallback Line_S12', 'Fallback Line_S11', 'Fallback Line_S10', 'Fallback Line_S9', 'Fallback Line_S8', 'Fallback Line_S7', 'Fallback Line_S6', 'Fallback Line_S5', 'Fallback Line_S4', 'Fallback Line_S3', 'Fallback Line_S2', 'Fallback Line_S1', 'Fallback Line_S0']"
