station_id,city,name,n_tracks,size_m2,amenities,overhead_wires,population,lat,lon,segment_id,city_a,city_b,distance_km,terrain_class,allowed_train_types,peak_trains_per_hour,offpeak_trains_per_hour,fiscal_year,currency,capex_million,opex_million
,Tripoli,,,,,,730000,34.4367,35.8497,,,,,,,,,,,,
,Sidon,,,,,,380000,33.5607,35.3909,,,,,,,,,,,,
,Tyre,,,,,,200000,33.2705,35.1948,,,,,,,,,,,,
,Zahle,,,,,,150000,33.8463,35.9020,,,,,,,,,,,,
,Jounieh,,,,,,120000,33.9808,35.6178,,,,,,,,,,,,
,Baalbek,,,,,,85000,34.0058,36.2180,,,,,,,,,,,,
,Byblos,,,,,,70000,34.1224,35.6520,,,,,,,,,,,,
,Nabatieh,,,,,,60000,33.3772,35.4831,,,,,,,,,,,,
,Aley,,,,,,50000,33.8100,35.5990,,,,,,,,,,,,
,Batroun,,,,,,45000,34.2555,35.6581,,,,,,,,,,,,
,Zgharta,,,,,,40000,34.3975,35.8965,,,,,,,,,,,,
,Jbeil,,,,,,35000,34.1214,35.6482,,,,,,,,,,,,
,Halba,,,,,,30000,34.5428,36.0797,,,,,,,,,,,,
,Marjayoun,,,,,,25000,33.3608,35.5914,,,,,,,,,,,,
,Chekka,,,,,,25000,34.3297,35.7278,,,,,,,,,,,,
,Bcharre,,,,,,20000,34.2511,36.0128,,,,,,,,,,,,
,Jezzine,,,,,,18000,33.5419,35.5842,,,,,,,,,,,,
,Rashaya,,,,,,15000,33.4989,35.8436,,,,,,,,,,,,
,Douma,,,,,,12000,34.0083,35.6500,,,,,,,,,,,,
